label,message
ham,Fine if that's the way u feel. That's the way its gota b
spam,You have been pre-approved for a personal loan of £5000. No credit checks needed. Call 0800 195 0089 today
ham,Are we still meeting for lunch tomorrow at that Italian place?
ham,No worries at all! See you tomorrow bright and early.
ham,"Let me know when you've arrived safely, just to put my mind at rest."
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k?"
ham,I'm still at the library studying. Home around 6 for dinner.
spam,You have an important customer service announcement. Call freephone 0800 542 0825 NOW. Or ignore this message at your peril
ham,"Grocery list when you're at Tesco: milk, eggs, bread, butter, pasta"
spam,You have been pre-approved for a personal loan of £5000. No credit checks needed. Call 0800 195 0089 today
ham,The kids absolutely loved the film. Thanks for the recommendation!
ham,As I entered the house I turned on all the lights and sat on the sofa
spam,Claim your FREE gift now! 3 FREE text messages + Ringtone = 3 x 150p standard rate msgs. To stop receiving texts call 0845 355 5566 18+ only.
ham,Can you pick up some milk on the way home? We're completely out.
ham,How was your weekend? Did you end up going to that festival?
spam,"Our records show you may be due PPI compensation up to £4,200! Call us FREE 0800 197 3805 today. Stop msg reply STOP"
spam,You have an important customer service announcement. Call freephone 0800 542 0825 NOW. Or ignore this message at your peril
ham,I finished the coding assignment. Can we review it together tomorrow?
ham,Hey! How are you doing? Haven't heard from you in a while.
ham,Can you pick up some milk on the way home? We're completely out.
ham,Just arrived at Heathrow. Where are you parked?
ham,"Finally finished that book you recommended. You were right, it was brilliant."
ham,"Sure, let me know when you're free to talk this week."
ham,Did you catch the bus? Or are you still at home waiting for me?
ham,"Reminder: doctor appointment at 3pm tomorrow, don't forget!"
ham,Just had the best coffee at this new cafe near the office.
ham,Just arrived at Heathrow. Where are you parked?
ham,The restaurant was fully booked so I made a reservation for next week instead.
spam,Sunshine Quiz! Win a super prize guaranteed. Question: what colour is the sky? Text SKY to 88600. 1.50 per msg
ham,Can you look after my cat this weekend while I'm away visiting family?
ham,Flight landed early. See you at arrivals in 20 mins.
ham,I'm still at the library studying. Home around 6 for dinner.
ham,Can you call me when you get a chance? Need to talk.
ham,I finished the coding assignment. Can we review it together tomorrow?
ham,"I need to cancel our plans tonight, really sorry about this!"
ham,Did you watch the match last night? What a game! We won!
ham,Can you help me move some furniture this Saturday? Won't take long.
spam,Sunshine Quiz! Win a super prize guaranteed. Question: what colour is the sky? Text SKY to 88600. 1.50 per msg
ham,Happy birthday! Hope you have an amazing day with lots of cake!
ham,The restaurant was fully booked so I made a reservation for next week instead.
ham,"Sure, let me know when you're free to talk this week."
ham,Did you catch the bus? Or are you still at home waiting for me?
ham,Thanks for the invite but I already have plans with the family.
ham,Just arrived at Heathrow. Where are you parked?
ham,Can you help me move some furniture this Saturday? Won't take long.
ham,Working late tonight so probably won't be back until 9.
spam,Free ringtone! Simply text CHAT to 86688 to receive 3 ringtones to your handset. Std rate applies. 3 msgs@150p. STOP STOP
ham,Can you look after my cat this weekend while I'm away visiting family?
ham,Did you catch the bus? Or are you still at home waiting for me?
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k?"
ham,Can you look after my cat this weekend while I'm away visiting family?
ham,Thanks for the invite but I already have plans with the family.
